"ZIP
code [1]",Size of adjusted gross income,Number of returns,Number of single returns,Number of joint returns,Number of head of household returns,Number with paid preparer's signature,Number of exemptions,Number of dependents
11213,"$75,000 under $100,000",1680,650,490,490,1130,3570,1410
11213,"$100,000 under $200,000",1380,420,650,290,970,3340,1310
11213,"$200,000 or more",310,50,250,**,260,1120,560
,,,,,,,,
11214,,"40,860","18,850","15,310","5,960","30,640","80,820","26,590"
11214,"$1 under $25,000",19700,10820,5890,2690,15040,34120,10400
11214,"$25,000 under $50,000",9560,3960,3730,1710,7040,20960,7720
11214,"$50,000 under $75,000",4930,2160,1780,860,3560,9860,3160
11214,"$75,000 under $100,000",2910,1060,1370,410,2160,6260,1980
11214,"$100,000 under $200,000",3130,760,2040,260,2360,7850,2690
11214,"$200,000 or more",630,90,500,30,480,1770,640
,,,,,,,,
11215,,"32,930","18,770","10,780","2,420","19,670","56,840","14,280"
11215,"$1 under $25,000",6320,5080,570,550,3750,7150,1340
11215,"$25,000 under $50,000",5390,4040,620,580,2870,7440,1470
11215,"$50,000 under $75,000",5230,3920,690,400,2580,6940,1030
11215,"$75,000 under $100,000",3710,2380,850,300,2090,5620,1070
11215,"$100,000 under $200,000",6830,2660,3530,420,4320,13930,3580
11215,"$200,000 or more",5450,690,4520,170,4060,15760,5790
,,,,,,,,
11216,,"29,020","19,660","3,020","5,790","15,100","42,640","11,250"
11216,"$1 under $25,000",10410,7510,590,2190,5680,14740,4350
11216,"$25,000 under $50,000",8190,5650,510,1890,3870,11850,3180
11216,"$50,000 under $75,000",5200,3670,400,990,2430,7150,1560
11216,"$75,000 under $100,000",2310,1490,350,400,1270,3430,770
11216,"$100,000 under $200,000",2260,1160,740,290,1370,3930,930
11216,"$200,000 or more",650,180,430,30,480,1540,460
,,,,,,,,
11217,,"19,230","12,410","4,260","2,040","10,600","29,810","6,780"
11217,"$1 under $25,000",4290,3250,300,660,2330,5630,1470
11217,"$25,000 under $50,000",3430,2430,280,650,1730,4930,1240
11217,"$50,000 under $75,000",3060,2360,260,320,1460,3990,680
11217,"$75,000 under $100,000",2120,1570,290,160,1070,2830,420
11217,"$100,000 under $200,000",3630,2160,1200,170,2080,5870,1030
11217,"$200,000 or more",2700,640,1930,80,1930,6560,1940
,,,,,,,,
11218,,"33,120","16,160","11,820","4,400","22,740","70,450","26,690"
11218,"$1 under $25,000",13360,7700,3650,1810,9540,25660,9770
11218,"$25,000 under $50,000",7370,3540,2420,1250,4930,16960,7200
11218,"$50,000 under $75,000",4420,2430,1220,610,2780,8500,2870
11218,"$75,000 under $100,000",2720,1280,990,330,1780,5410,1710
11218,"$100,000 under $200,000",3870,1050,2400,340,2700,9590,3330
11218,"$200,000 or more",1380,160,1140,60,1010,4330,1810
,,,,,,,,
11219,,"33,910","12,300","17,380","3,820","25,990","92,840","42,590"
11219,"$1 under $25,000",20390,8470,9320,2390,15610,50160,21450
11219,"$25,000 under $50,000",7160,2100,4090,880,5410,23030,11800
11219,"$50,000 under $75,000",2670,970,1310,330,2000,7280,3300
11219,"$75,000 under $100,000",1410,420,830,130,1090,4040,1810
11219,"$100,000 under $200,000",1610,280,1230,90,1280,5730,2890
11219,"$200,000 or more",670,60,600,**,600,2600,1340
,,,,,,,,
11220,,"53,900","25,570","19,410","8,260","41,530","109,370","37,490"
11220,"$1 under $25,000",36120,18530,12020,5240,28570,68980,22230
11220,"$25,000 under $50,000",10250,4040,4150,1920,7700,24290,9920
11220,"$50,000 under $75,000",3660,1780,1110,670,2480,7190,2420
11220,"$75,000 under $100,000",1670,680,710,250,1170,3470,1100
11220,"$100,000 under $200,000",1810,480,1110,180,1310,4330,1410
11220,"$200,000 or more",390,60,310,**,300,1110,410
,,,,,,,,
11221,,"39,520","24,470","4,330","10,040","21,730","62,820","20,140"
11221,"$1 under $25,000",17480,11810,1160,4330,9750,26190,8670
11221,"$25,000 under $50,000",11820,7190,1070,3340,5990,19040,6190
11221,"$50,000 under $75,000",5640,3370,640,1470,3060,8940,2660
11221,"$75,000 under $100,000",2290,1190,490,540,1360,4030,1250
11221,"$100,000 under $200,000",1900,810,710,330,1270,3670,1060
11221,"$200,000 or more",390,100,260,30,300,950,310
,,,,,,,,
11222,,"22,570","15,710","4,850","1,430","12,740","32,440","5,510"
11222,"$1 under $25,000",5900,4660,640,480,3540,7260,1180
11222,"$25,000 under $50,000",4960,3730,670,420,2580,6740,1140
11222,"$50,000 under $75,000",4450,3370,690,260,2240,5960,820
11222,"$75,000 under $100,000",2670,1830,610,130,1400,3850,580
11222,"$100,000 under $200,000",3440,1770,1480,110,2110,6080,1160
11222,"$200,000 or more",1150,350,760,30,870,2550,630
,,,,,,,,
11223,,"32,740","14,860","12,430","4,840","24,490","67,070","23,490"
11223,"$1 under $25,000",15510,8570,4440,2260,11420,26990,8570
11223,"$25,000 under $50,000",7450,3240,2650,1410,5460,16040,5960
11223,"$50,000 under $75,000",3740,1600,1430,610,2800,7710,2550
11223,"$75,000 under $100,000",2220,750,1100,320,1670,5020,1700
11223,"$100,000 under $200,000",2660,560,1830,240,2090,7100,2630
11223,"$200,000 or more",1160,140,980,**,1050,4210,2080
,,,,,,,,
11224,,"20,240","10,480","4,470","4,860","14,350","35,930","11,970"
11224,"$1 under $25,000",10120,6260,1380,2310,6940,16270,5480
11224,"$25,000 under $50,000",4890,2310,960,1510,3380,9100,3260
11224,"$50,000 under $75,000",2350,1050,630,580,1740,4320,1350
11224,"$75,000 under $100,000",1280,470,520,260,990,2490,700
11224,"$100,000 under $200,000",1350,330,810,180,1080,3100,950
11224,"$200,000 or more",250,60,170,20,220,650,230
,,,,,,,,
11225,,"30,600","17,980","4,330","7,610","18,480","49,790","15,670"
11225,"$1 under $25,000",11770,7910,900,2790,7350,17360,5470
11225,"$25,000 under $50,000",8800,4960,980,2640,5110,14540,4790
11225,"$50,000 under $75,000",5070,3000,660,1280,2850,8060,2330
11225,"$75,000 under $100,000",2360,1220,510,550,1440,4070,1200
11225,"$100,000 under $200,000",2070,790,890,320,1340,4260,1300
11225,"$200,000 or more",530,100,390,30,390,1500,580
,,,,,,,,
11226,,"52,070","27,760","7,150","16,090","34,150","88,040","30,400"
11226,"$1 under $25,000",23360,14440,1890,6690,15650,36070,12360
11226,"$25,000 under $50,000",15390,7480,1770,5790,9910,27130,10000
11226,"$50,000 under $75,000",7230,3610,1160,2250,4510,12480,4090
11226,"$75,000 under $100,000",3080,1350,800,840,2010,5700,1830
11226,"$100,000 under $200,000",2500,800,1130,490,1690,5280,1640
11226,"$200,000 or more",510,80,400,30,380,1380,480
,,,,,,,,
11228,,"19,710","9,250","7,870","2,200","15,190","38,590","12,140"
11228,"$1 under $25,000",8260,4790,2460,890,6340,13450,3810
11228,"$25,000 under $50,000",4010,1930,1430,560,3030,8130,2720
11228,"$50,000 under $75,000",2430,1240,800,330,1820,4510,1290
11228,"$75,000 under $100,000",1690,670,740,210,1310,3490,1060
11228,"$100,000 under $200,000",2450,530,1690,180,1970,6410,2270
11228,"$200,000 or more",870,90,750,30,720,2600,990
,,,,,,,,
11229,,"36,350","16,960","13,550","5,160","26,550","71,440","23,400"
11229,"$1 under $25,000",14850,8840,3640,2140,10590,23630,6960
11229,"$25,000 under $50,000",7940,3710,2650,1440,5710,16200,5640
11229,"$50,000 under $75,000",4770,2230,1650,760,3460,9240,2820
11229,"$75,000 under $100,000",3110,1160,1440,410,2370,6570,2030
11229,"$100,000 under $200,000",4320,890,3000,370,3320,11300,3980
11229,"$200,000 or more",1360,130,1170,40,1100,4500,1970
,,,,,,,,
11230,,"35,490","16,260","13,540","4,970","25,280","77,700","30,520"
11230,"$1 under $25,000",15200,8920,3900,2120,10730,26880,9540
11230,"$25,000 under $50,000",8330,3570,3000,1580,5780,19600,8340
11230,"$50,000 under $75,000",4500,1970,1700,700,3080,9830,3650
11230,"$75,000 under $100,000",2540,890,1260,320,1880,6240,2440
11230,"$100,000 under $200,000",3340,730,2340,210,2470,9400,3720
11230,"$200,000 or more",1580,180,1340,40,1340,5750,2830
,,,,,,,,
11231,,"17,020","9,250","5,000","2,280","10,680","30,190","8,690"
11231,"$1 under $25,000",4320,2900,380,960,2670,6190,1960
11231,"$25,000 under $50,000",2880,1810,340,650,1640,4560,1360
11231,"$50,000 under $75,000",2300,1650,320,250,1260,3200,590
11231,"$75,000 under $100,000",1580,1020,320,140,910,2370,480
11231,"$100,000 under $200,000",3250,1460,1470,200,2110,6230,1520
11231,"$200,000 or more",2690,410,2170,80,2090,7640,2780
,,,,,,,,
11232,,"12,860","6,820","3,550","2,250","8,750","24,290","8,240"
11232,"$1 under $25,000",6290,3650,1460,1110,4530,11110,3700
11232,"$25,000 under $50,000",3130,1570,830,670,2060,6500,2550
11232,"$50,000 under $75,000",1670,940,390,290,1000,2980,920
11232,"$75,000 under $100,000",780,370,280,100,490,1480,420
11232,"$100,000 under $200,000",790,250,440,80,520,1710,480
11232,"$200,000 or more",200,40,150,**,150,510,170
,,,,,,,,
11233,,"31,980","17,160","3,250","10,920","19,070","54,680","20,310"
11233,"$1 under $25,000",14410,8940,800,4490,8420,23110,8740
11233,"$25,000 under $50,000",9310,4670,760,3660,5320,16290,6250
11233,"$50,000 under $75,000",4410,2140,500,1640,2650,7640,2730
11233,"$75,000 under $100,000",1920,810,380,660,1270,3530,1230
11233,"$100,000 under $200,000",1620,530,600,470,1160,3350,1130
11233,"$200,000 or more",310,70,210,**,250,760,230
,,,,,,,,
11234,,"42,560","19,960","11,440","10,020","31,420","79,150","27,190"
11234,"$1 under $25,000",14380,9500,1730,2900,10100,20060,5950
11234,"$25,000 under $50,000",9770,4740,1740,2990,7000,17700,6220
11234,"$50,000 under $75,000",6460,2850,1450,1920,4770,11840,3930
11234,"$75,000 under $100,000",4360,1520,1480,1180,3390,9070,3240
11234,"$100,000 under $200,000",6000,1180,3730,940,4820,15620,5890
11234,"$200,000 or more",1590,170,1310,90,1340,4860,1960
,,,,,,,,
11235,,"38,700","19,090","12,900","5,780","29,010","70,800","20,640"
11235,"$1 under $25,000",16790,10300,3870,2260,12280,26590,7340
11235,"$25,000 under $50,000",8410,4040,2500,1640,6160,15920,5030
11235,"$50,000 under $75,000",4900,2320,1590,840,3660,8870,2390
11235,"$75,000 under $100,000",3090,1190,1320,480,2410,6100,1690
11235,"$100,000 under $200,000",4160,1010,2590,480,3350,9660,2910
11235,"$200,000 or more",1350,230,1030,80,1150,3660,1280
,,,,,,,,
11236,,"47,920","22,540","6,820","17,460","34,360","83,020","30,170"
11236,"$1 under $25,000",19250,11910,1390,5680,13280,28270,9480
11236,"$25,000 under $50,000",13560,5780,1530,5910,9650,24320,9260
11236,"$50,000 under $75,000",7240,2760,1090,3170,5340,13370,5040
11236,"$75,000 under $100,000",3900,1230,950,1570,2970,7740,2890
11236,"$100,000 under $200,000",3610,800,1620,1090,2850,8430,3200
11236,"$200,000 or more",360,60,240,40,270,890,300
,,,,,,,,
11237,,"23,730","15,160","3,600","4,690","13,230","38,550","11,910"
11237,"$1 under $25,000",10550,6990,1160,2310,6230,16400,5350
11237,"$25,000 under $50,000",7390,4630,1130,1540,3910,12570,4080
11237,"$50,000 under $75,000",3350,2240,520,530,1670,5240,1370
11237,"$75,000 under $100,000",1250,720,300,210,690,2140,590
11237,"$100,000 under $200,000",1030,510,410,100,610,1900,460
11237,"$200,000 or more",160,70,80,**,120,300,60
,,,,,,,,
11238,,"30,940","20,550","5,530","4,140","16,590","46,580","10,830"
11238,"$1 under $25,000",7750,5790,480,1350,4300,10250,2670
11238,"$25,000 under $50,000",6650,4800,480,1230,3250,9340,2250
11238,"$50,000 under $75,000",5750,4380,450,750,2660,7550,1360
11238,"$75,000 under $100,000",3350,2400,470,380,1670,4600,790
11238,"$100,000 under $200,000",4920,2610,1830,340,2910,8550,1800
11238,"$200,000 or more",2520,570,1820,90,1800,6290,1960
,,,,,,,,
11239,,"7,210","3,660",700,"2,780","4,510","12,240","4,570"
11239,"$1 under $25,000",2880,1900,200,760,1700,4120,1270
11239,"$25,000 under $50,000",2210,980,160,1040,1360,3990,1630
11239,"$50,000 under $75,000",1320,540,140,610,850,2440,980
11239,"$75,000 under $100,000",490,160,100,240,360,1010,420
11239,"$100,000 under $200,000",310,80,100,130,240,680,270
11239,"$200,000 or more",**,**,**,**,**,**,**
,,,,,,,,
11354,,"30,420","16,210","10,500","3,240","23,350","52,530","12,540"
11354,"$1 under $25,000",17930,11170,4780,1720,13980,26950,5170
11354,"$25,000 under $50,000",5670,2500,2320,740,4340,11310,3320
11354,"$50,000 under $75,000",2820,1330,1040,400,2060,5300,1440
11354,"$75,000 under $100,000",1680,640,800,210,1240,3370,890
11354,"$100,000 under $200,000",1870,490,1210,170,1400,4410,1330
11354,"$200,000 or more",450,80,350,**,330,1190,390
,,,,,,,,
11355,,"50,960","26,700","18,230","5,330","39,450","90,360","22,740"
11355,"$1 under $25,000",34950,20530,10630,3420,27410,55740,11700
11355,"$25,000 under $50,000",8470,3260,4020,1040,6600,18780,6310
11355,"$50,000 under $75,000",3520,1620,1300,510,2520,6820,2000
11355,"$75,000 under $100,000",1800,690,860,210,1320,3800,1140
11355,"$100,000 under $200,000",1850,520,1150,150,1330,4330,1330
11355,"$200,000 or more",370,80,270,**,270,890,260
,,,,,,,,
11356,,"12,380","5,800","4,230","2,110","9,670","23,690","7,690"
11356,"$1 under $25,000",5860,3430,1410,930,4590,9400,2710
11356,"$25,000 under $50,000",2920,1210,1040,610,2290,6120,2170
11356,"$50,000 under $75,000",1470,590,510,320,1090,2990,1010
11356,"$75,000 under $100,000",900,300,420,160,730,1990,680
11356,"$100,000 under $200,000",1040,240,700,90,820,2690,950
11356,"$200,000 or more",190,30,150,**,150,500,170
,,,,,,,,
11357,,"19,850","9,500","8,170","1,790","15,620","36,920","10,090"
11357,"$1 under $25,000",6160,4200,1370,500,4760,7890,1500
11357,"$25,000 under $50,000",3560,1880,1180,440,2790,6390,1690
11357,"$50,000 under $75,000",2890,1500,980,340,2240,5100,1240
11357,"$75,000 under $100,000",2150,870,960,230,1680,4340,1230
11357,"$100,000 under $200,000",3730,880,2550,230,3010,9290,3010
11357,"$200,000 or more",1360,170,1130,50,1140,3910,1420
,,,,,,,,
11358,,"18,980","9,220","7,430","1,960","14,390","35,090","9,670"
11358,"$1 under $25,000",8030,5030,2040,840,6190,11690,2580
11358,"$25,000 under $50,000",3830,1810,1460,490,2890,7570,2300
11358,"$50,000 under $75,000",2320,1150,820,290,1700,4300,1160
11358,"$75,000 under $100,000",1540,620,720,150,1140,3090,830
11358,"$100,000 under $200,000",2510,530,1750,170,1890,6300,2040
11358,"$200,000 or more",750,80,640,20,580,2140,760
,,,,,,,,
11360,,"10,040","5,250","3,750",790,"7,870","17,380","4,110"
11360,"$1 under $25,000",2690,1880,560,200,2070,3330,560
11360,"$25,000 under $50,000",1630,960,470,170,1270,2740,660
11360,"$50,000 under $75,000",1400,830,380,150,1080,2280,500
11360,"$75,000 under $100,000",1210,610,430,110,970,2100,460
11360,"$100,000 under $200,000",2230,770,1270,130,1750,4760,1270
11360,"$200,000 or more",880,200,640,30,730,2170,660
,,,,,,,,
11361,,"13,930","6,840","5,310","1,500","10,360","25,850","7,390"
11361,"$1 under $25,000",4950,3200,1150,520,3710,6960,1620
11361,"$25,000 under $50,000",2770,1380,940,400,2060,5390,1700
11361,"$50,000 under $75,000",1930,1030,590,250,1380,3410,890
11361,"$75,000 under $100,000",1380,600,580,150,1010,2650,690
11361,"$100,000 under $200,000",2200,550,1460,180,1670,5400,1740
11361,"$200,000 or more",700,80,590,**,530,2040,750
,,,,,,,,
11362,,"8,740","4,140","3,720",710,"6,720","16,490","4,520"
11362,"$1 under $25,000",2500,1720,530,190,1890,3170,610
11362,"$25,000 under $50,000",1580,830,550,170,1190,2990,870
11362,"$50,000 under $75,000",1220,630,450,110,930,2230,560
11362,"$75,000 under $100,000",1060,450,480,110,840,2110,570
11362,"$100,000 under $200,000",1760,440,1180,130,1370,4200,1270
11362,"$200,000 or more",620,70,530,**,500,1790,640
,,,,,,,,
11363,,"3,430","1,650","1,450",270,"2,600","6,410","1,770"
11363,"$1 under $25,000",970,700,180,70,710,1150,230
11363,"$25,000 under $50,000",560,320,180,60,420,1020,280
11363,"$50,000 under $75,000",460,250,150,50,340,810,200
11363,"$75,000 under $100,000",350,160,140,40,260,660,180
11363,"$100,000 under $200,000",630,170,410,50,490,1460,420
11363,"$200,000 or more",460,50,390,**,380,1310,460
,,,,,,,,
11364,,"17,800","8,260","7,390","1,760","13,220","33,990","9,790"
11364,"$1 under $25,000",6060,3740,1630,590,4500,8740,2000
11364,"$25,000 under $50,000",3430,1600,1350,400,2570,6850,2100
11364,"$50,000 under $75,000",2580,1310,870,330,1860,4750,1310
11364,"$75,000 under $100,000",1930,800,850,210,1420,3900,1120
11364,"$100,000 under $200,000",2950,710,1990,190,2230,7350,2410
11364,"$200,000 or more",850,100,700,40,640,2400,850
,,,,,,,,
11365,,"21,470","10,010","7,960","3,060","15,760","41,280","13,020"
11365,"$1 under $25,000",8690,5210,2230,1110,6420,13360,3570
11365,"$25,000 under $50,000",4620,2090,1630,790,3350,9590,3360
11365,"$50,000 under $75,000",2850,1330,930,520,2040,5530,1760
11365,"$75,000 under $100,000",1930,700,860,330,1400,4120,1330
11365,"$100,000 under $200,000",2770,620,1800,280,2090,6950,2380
11365,"$200,000 or more",610,60,510,30,460,1730,620
,,,,,,,,
11366,,"6,730","3,030","2,770",770,"4,840","13,240","4,120"
11366,"$1 under $25,000",2460,1540,580,290,1780,3610,930
11366,"$25,000 under $50,000",1320,610,490,190,940,2650,850
11366,"$50,000 under $75,000",870,410,310,120,620,1720,540
11366,"$75,000 under $100,000",590,200,290,80,430,1290,410
11366,"$100,000 under $200,000",1080,210,760,90,770,2790,960
11366,"$200,000 or more",410,60,340,**,300,1180,430
,,,,,,,,
11367,,"18,860","8,650","7,050","2,760","13,600","38,240","13,240"
11367,"$1 under $25,000",7950,4650,1980,1160,5760,12780,3740
11367,"$25,000 under $50,000",4100,1820,1440,770,2890,8820,3300
11367,"$50,000 under $75,000",2570,1090,970,430,1840,5290,1750
11367,"$75,000 under $100,000",1570,560,730,230,1140,3610,1310
11367,"$100,000 under $200,000",2050,460,1400,170,1480,5660,2210
11367,"$200,000 or more",620,70,530,**,490,2080,930
,,,,,,,,
11368,,"48,530","22,510","12,380","12,970","37,750","98,610","39,260"
11368,"$1 under $25,000",27870,15270,5280,7030,21630,50550,18950
11368,"$25,000 under $50,000",12450,4590,3840,3820,9750,28920,12650
11368,"$50,000 under $75,000",4960,1740,1700,1410,3860,11260,4590
11368,"$75,000 under $100,000",1860,580,780,450,1440,4300,1660
11368,"$100,000 under $200,000",1300,310,720,260,1000,3350,1330
11368,"$200,000 or more",90,20,60,**,70,230,80
,,,,,,,,
11369,,"17,950","8,570","4,660","4,410","13,770","34,420","12,510"
11369,"$1 under $25,000",8830,5140,1530,2040,6690,14830,5150
11369,"$25,000 under $50,000",4610,1880,1240,1410,3570,9630,3790
11369,"$50,000 under $75,000",2320,950,720,590,1780,4750,1710
11369,"$75,000 under $100,000",1070,350,480,210,830,2350,810
11369,"$100,000 under $200,000",1010,230,610,160,810,2560,940
11369,"$200,000 or more",110,20,80,**,90,300,110
,,,,,,,,
11370,,"13,230","6,310","4,510","2,120","10,260","25,500","8,310"
11370,"$1 under $25,000",5980,3530,1410,930,4690,9780,2950
11370,"$25,000 under $50,000",3060,1330,1060,600,2360,6370,2250
11370,"$50,000 under $75,000",1810,780,650,320,1350,3620,1160
11370,"$75,000 under $100,000",990,360,450,150,770,2230,780
11370,"$100,000 under $200,000",1190,280,780,120,920,2960,990
11370,"$200,000 or more",200,30,160,**,170,540,180
,,,,,,,,
11372,,"35,020","18,100","10,190","5,910","25,600","64,220","20,130"
11372,"$1 under $25,000",15910,9890,2990,2720,11840,25290,7480
11372,"$25,000 under $50,000",8280,3830,2480,1770,6130,16860,6120
11372,"$50,000 under $75,000",4810,2280,1520,860,3450,9160,2830
11372,"$75,000 under $100,000",2470,1110,970,310,1720,4780,1340
11372,"$100,000 under $200,000",2880,870,1720,230,1990,6480,1880
11372,"$200,000 or more",670,120,510,20,470,1650,480
,,,,,,,,
11373,,"50,870","25,380","16,370","8,130","38,410","96,260","30,850"
11373,"$1 under $25,000",27380,16170,6660,4110,20990,44910,12650
11373,"$25,000 under $50,000",12280,5090,4590,2330,9310,26920,10090
11373,"$50,000 under $75,000",5910,2480,2220,1050,4270,12250,4130
11373,"$75,000 under $100,000",2610,940,1220,380,1900,5650,1820
